800.0000000	10688.13016
790.0000000	11888.97760
776.9230769	13401.93879
770.7692308	14134.77883
761.5384615	15722.86885
750.7692308	17029.96960
742.3076923	18692.88355
729.2307692	20793.09200
723.0769231	22223.92738
710.0000000	24720.86050
700.0000000	26775.99787/Users/mac/Downloads/SN Data - Sample Metal.txt
690.7692308	30000.00000
675.3846154	32260.45737
665.3846154	34480.39674
655.3846154	36365.84151
650.0000000	38354.38549
630.0000000	43235.26750
613.8461538	48092.89547
600.0000000	53496.29430
594.6153846	56421.55960
588.4615385	60000.00000
575.3846154	66192.57079
563.0769231	74616.06979
556.1538462	82999.43662
550.0000000	90000.00000
540.7692308	100000.0000
533.8461538	109764.6325
526.9230769	122097.0588
517.6923077	137634.8214
511.5384615	161470.2381
500.0000000	191971.6043
492.3076923	213540.2608
489.2307692	250520.8812
485.3846154	278667.7462
479.2307692	354105.7248
476.1538462	400000.0000
469.2307692	500000.0000
466.1538462	600000.0000
463.0769231	716954.0617
460.0000000	852385.0778
457.6923077	1000000.000
453.8461538	1490769.177
450.0000000	2439401.222
446.1538462	5000000.000
445.3846154	7765571.279
444.6153846	10000000.00
443.8461538	18943344.07
442.3076923	29390575.66
440.7692308	35885028.44
440.0000000	46210416.66
